name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey- Thick Lint & Streak-Free Multipurpose Cloths - Automotive Mi...,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91C6slV1XGL._AC_UL320_.jpg,https://www.amazon.in/SOFTSPUN-Microfiber-Cleaning-Detailing-Polishing/dp/B077BFH786/ref=sr_1_1?qid=1679222595&s=automotive&sr=1-1,4.3,"78,970",₹269,₹604
"Involve Your Senses One Musk Organic Car Perfume Bar, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Ca...",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51vw-wdV-eL._AC_UL320_.jpg,https://www.amazon.in/Involve-Your-Senses-IONE01-Organic/dp/B00PPY2NB0/ref=sr_1_2?qid=1679222595&s=automotive&sr=1-2,3.8,"17,245",₹307,₹399
ShineXPro Microfiber Car Cleaning Cloth - OG Soft 500 GSM Extra Large (35x75 CM) Microfiber Cloth for Car and Bike - Suede...,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81hauo1yiwL._AC_UL320_.jpg,https://www.amazon.in/ShineXPro-Microfiber-Car-Cleaning-Cloth/dp/B09RWTYMCF/ref=sr_1_3?qid=1679222595&s=automotive&sr=1-3,4.3,"5,067",₹499,₹549
"pTron Bullet Pro 36W PD Quick Charger, 3 Port Fast Car Charger Adapter - Compatible with All Smartphones & Tablets (Black)",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61aBH+cXL2L._AC_UL320_.jpg,https://www.amazon.in/PTron-Bullet-Pro-Lightweight-Smartphones/dp/B07WG8PDCW/ref=sr_1_4?qid=1679222595&s=automotive&sr=1-4,4.0,"15,910",₹349,"₹1,299"
"Pidilite WD-40, Multipurpose Car care Spray, 420ml Rust Remover, Lubricant, Stain Remover, Powerful Chimney Cleaner, Degre...",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51iXu11jMdL._AC_UL320_.jpg,https://www.amazon.in/Pidilite-Multiple-Maintenance-Spray-420/dp/B07FCHCQCW/ref=sr_1_5?qid=1679222595&s=automotive&sr=1-5,4.3,"34,750",₹290,₹418
Jopasu Car Duster,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ge72aiPiL._AC_UL320_.jpg,https://www.amazon.in/JOPASU-Jopasu-Car-Duster/dp/B00RJQ8XHU/ref=sr_1_6?qid=1679222595&s=automotive&sr=1-6,4.4,"32,337",₹755,₹869
HSR Car Accessories in 10PCS/1Set Car Wiper Detergent Effervescent Tablets Washer Auto Windshield Cleaner Glass Wash Clean...,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71jcFEPDLvL._AC_UL320_.jpg,https://www.amazon.in/HSR-Windshield-Cleaning-Cleaner-Effervescent/dp/B07TN7QYB6/ref=sr_1_7?qid=1679222595&s=automotive&sr=1-7,3.9,"10,404",₹170,₹499
AutokraftZ Black Uv Sunblock protection with thumb hole Arm sleeves for unisex_2,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51-hF5IrltL._AC_UL320_.jpg,https://www.amazon.in/AutokraftZ-LETS_SLIM_BLK_AKZ-Protection-Cooling-Sleeves/dp/B07PMSDFNQ/ref=sr_1_8?qid=1679222595&s=automotive&sr=1-8,3.5,"6,158",₹95,₹99
"SOFTSPUN Microfiber Cleaning Cloths, 8 pcs 40x40cms 280GSM Multicolor! Highly Absorbent Lint and Streak Free Multipurpose ...",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81AnOR9e-SL._AC_UL320_.jpg,https://www.amazon.in/SOFTSPUN-Microfiber-Cleaning-Multi-Color-Absorbent/dp/B081L7PDR2/ref=sr_1_9?qid=1679222595&s=automotive&sr=1-9,4.3,"6,570",₹337,₹795
3M Foaming Car Interior Cleaner (580 g) | Upholstery & Leather cleaner | Removes tough stains & dirt inside your car,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61zxhscfJxL._AC_UL320_.jpg,https://www.amazon.in/3M-Interior-Cleaner-580-g/dp/B0183SZDTS/ref=sr_1_10?qid=1679222595&s=automotive&sr=1-10,4.1,"12,222",₹647,₹683
"Godrej aer twist | Long-lasting, Spill-proof Car Freshener | Fresh Lush Green (45g)",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61OeOSrwacL._AC_UL320_.jpg,https://www.amazon.in/Godrej-aer-Twist-Freshener-Fresh/dp/B00NNOE3BW/ref=sr_1_11?qid=1679222595&s=automotive&sr=1-11,3.9,"16,357",₹275,₹399
"Portronics AUTO 12 in-Car Bluetooth Receiver for Handsfree Calling, Music System, Supports All Smartphones (Black)",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51Ioc0bbHqL._AC_UL320_.jpg,https://www.amazon.in/Portronics-Bluetooth-Receiver-Handsfree-Smartphones/dp/B08SMGMMVT/ref=sr_1_12?qid=1679222595&s=automotive&sr=1-12,4.3,"18,028",₹522,"₹1,499"
"Cif Abrasive Surface Cleaner Cream, Lemon| Kitchen & Bathroom, Removes Grease, Dirt & Tough Stains with Natural Cleaning P...",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51S9kaDwauL._AC_UL320_.jpg,https://www.amazon.in/Cif-Multi-Purpose-Cleaner-Crystals/dp/B01N4IHSX3/ref=sr_1_13?qid=1679222595&s=automotive&sr=1-13,4.4,"5,198",₹169,₹199
3M Car Dashboard Dresser (250 ml) | Restore Gloss on Dashboard and other plastic parts | Protection from UV rays & fading,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/513V-hbHfEL._AC_UL320_.jpg,https://www.amazon.in/3M-IA260166359-Auto-Specialty-Dashboard/dp/B00S5SAVQW/ref=sr_1_14?qid=1679222595&s=automotive&sr=1-14,4.2,"11,361",,₹333
Motul C2 Chain Lube for All Bikes (150 ml),car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61mJo2tHKoL._AC_UL320_.jpg,https://www.amazon.in/Motul-C2-Chain-Lube-Bikes/dp/B01ESPB2VI/ref=sr_1_15?qid=1679222595&s=automotive&sr=1-15,4.3,"9,470",₹195,₹245
"WeCool C1 Car Mobile Holder with One Click Technology,360° Rotational, Strong Suction Cup,Compatible with 4 to 6 Inch Devi...",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61KYFtXzZeL._AC_UL320_.jpg,https://www.amazon.in/WeCool-C1-Technology-Windshield-Extendable/dp/B09P858DK8/ref=sr_1_16?qid=1679222595&s=automotive&sr=1-16,4.0,"4,142",₹499,"₹1,999"
Vega Crux Black Helmet-M,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61eEetcCb9L._AC_UL320_.jpg,https://www.amazon.in/Vega-CRX-B-M-Flip-up-Helmet-Black/dp/B012DF4EUQ/ref=sr_1_17?qid=1679222595&s=automotive&sr=1-17,4.3,"47,175","₹1,078","₹1,550"
SOFTSPUN Microfiber Cloth - 5pcs - 40x40cms - 340GSM Multi-Color - Thick Lint & Streak-Free Multipurpose Cloths - Automoti...,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/9192tR2ij0L._AC_UL320_.jpg,https://www.amazon.in/SOFTSPUN-Microfiber-Detailing-Polishing-Muticolor/dp/B01LZ3TGL2/ref=sr_1_18?qid=1679222595&s=automotive&sr=1-18,4.3,"26,064",₹320,₹755
"ORJILO Super Soft Microfiber Car Duster Exterior with Extendable Handle, Car Brush Duster for Car Cleaning Dusting - Grey",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61E16mQiRCS._AC_UL320_.jpg,https://www.amazon.in/ORJILO-Microfiber-Exterior-Extendable-Cleaning/dp/B0B5XHFGK8/ref=sr_1_19?qid=1679222595&s=automotive&sr=1-19,4.0,"2,300",₹349,₹999
"3M Car Wash Shampoo, 250ml | High Foam Car Cleaning | Remove tough dirt | Safe on paint",car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61dGCX7CafL._AC_UL320_.jpg,https://www.amazon.in/3M-IA260100432-Auto-Specialty-Shampoo/dp/B00S5SBS9G/ref=sr_1_20?qid=1679222595&s=automotive&sr=1-20,4.3,"8,848",₹250,₹335
ShineXPro Microfiber Cloth for Car - PureMagic 1100 GSM Twisted Loop Super Absorbent Towel - Edgeless Design with Plush Pi...,car & motorbike,All Car & Motorbike Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71tPu1JwI8L._AC_UL320_.jpg,https://www.amazon.in/ShineXPro-Microfiber-Cloth-Car-PureMagic/dp/B09NY7VK6G/ref=sr_1_21?qid=1679222595&s=automotive&sr=1-21,4.4,"4,249",₹599,₹649
